Time (s),Bx (µT),Bz (µT),ωy (rad/s),Voltage (mV)
33.04999923706055,1.6377252340316772,35.97846984863281,-10.292055130004883,0.0018346013966947794
33.060001373291016,5.162602424621582,35.17189025878906,-10.13674259185791,0.002879186999052763
33.06999969482422,8.839601516723633,35.341522216796875,-9.985102653503418,0.003928223624825478
33.08000183105469,12.6128511428833,33.67792892456055,-9.828360557556152,0.0047095762565732
33.09000015258789,15.497050285339355,32.01433563232422,-9.66888427734375,0.005235564429312944
33.099998474121094,18.093303680419922,29.8052921295166,-9.51018238067627,0.006019222550094128
33.11000061035156,20.528873443603516,27.212160110473633,-9.348231315612793,0.00680574169382453
33.119998931884766,22.896728515625,24.41924285888672,-9.186280250549316,0.007589240092784166
33.130001068115234,25.62185287475586,20.870243072509766,-9.02320671081543,0.00732266902923584
33.13999938964844,27.388601303100586,19.04520606994629,-8.856904983520508,0.007592895999550819
33.150001525878906,28.851499557495117,16.550926208496094,-8.685295104980469,0.008372579701244831
33.15999984741211,30.12026596069336,13.171122550964355,-8.517548561096191,0.008372579701244831
33.16999816894531,31.183494567871094,9.178498268127441,-8.345681190490723,0.00863621011376381
33.18000030517578,31.91718101501465,5.185873508453369,-8.173707008361816,0.008895865641534328
33.189998626708984,31.725936889648438,2.6069343090057373,-7.997169494628906,0.008632076904177666
33.20000076293945,31.75121307373047,-0.5238757133483887,-7.818432807922363,0.008372579701244831
33.209999084472656,32.12517547607422,-3.4523446559906006,-7.640170574188232,0.007844683714210987
33.220001220703125,32.31365203857422,-6.003188133239746,-7.460208415985107,0.007326007355004549
33.22999954223633,31.370338439941406,-8.486764907836914,-7.2769365310668945,0.007061900570988655
33.2400016784668,30.427026748657227,-9.595827102661133,-7.090354919433594,0.006802720949053764
33.25,29.313247680664062,-12.328272819519043,-6.900844573974609,0.0065384553745388985
33.2599983215332,28.160310745239258,-15.240761756896973,-6.708489418029785,0.006015089340507984
33.27000045776367,26.78961753845215,-17.475780487060547,-6.51249361038208,0.006020573433488607
33.279998779296875,25.066919326782227,-18.808338165283203,-6.316956520080566,0.006014930550009012
33.290000915527344,23.80916976928711,-21.026464462280273,-6.127007484436035,0.004962397273629904
33.29999923706055,22.551420211791992,-23.24458885192871,-5.927844524383545,0.0041862898506224155
